cat,nfor,ndefor,rate
1,17166,1,5.825621668287262e-06
2,7563,7,9.259443633347075e-05
3,14732,42,0.0002854600882168379
4,15733,102,0.0006502180510596922
5,14458,104,0.0007216640321863199
6,12929,106,0.0008229029090819351
7,12533,126,0.0010099233007127006
8,17029,289,0.0017102067253090825
9,11127,226,0.0020499019781561323
10,14784,340,0.0023239366167930875
11,12851,320,0.002518428937586359
12,12206,368,0.00305661280339542
13,15132,512,0.003436207923148804
14,13230,513,0.003946920063694348
15,14962,635,0.004327388209592775
16,13575,646,0.004863834616316565
17,12157,625,0.005264031749686149
18,15077,771,0.00523538476298091
19,12041,676,0.005761243577814712
20,14649,1036,0.007307852360224687
21,12845,1115,0.009039393585264954
22,13215,1284,0.010169189869304818
23,13975,1528,0.011512259825636417
24,13176,1611,0.012956699528535953
25,13269,1854,0.014937532222257577
26,13416,2290,0.018542268389595717
27,13163,2776,0.023407184395130898
28,13358,3701,0.03192260513803935
29,13224,6010,0.0588012759602643
