cat,nfor,ndefor,rate
1,46121,9,1.9515601158093254e-05
2,6240,8,0.00012827915281465874
3,17398,57,0.00032810788772363875
4,14693,88,0.0006005450060294626
5,14011,94,0.0006729355723663621
6,12244,128,0.0010503607763597822
7,11475,157,0.001376689215396687
8,15033,180,0.0012038667301664807
9,13284,250,0.0018980938975001749
10,16366,323,0.0019913540918955475
11,11138,292,0.0026531079465001994
12,13709,430,0.0031817984608052408
13,14837,569,0.0039028433795127437
14,13631,571,0.004270105735719842
15,11964,506,0.004312072679815926
16,14433,716,0.005075208576024393
17,12529,696,0.005699070219682523
18,14475,1001,0.007140496734830415
19,13646,1077,0.008187594902543727
20,13080,1225,0.009785272246184085
21,13471,1529,0.01197547914111241
22,13274,1688,0.013508900839054538
23,13331,1743,0.013914492978522874
24,13354,2276,0.01851198926026687
25,13292,2909,0.0243967191265424
26,13306,3932,0.03442115315118244
27,13240,7160,0.07487256690747823
