cat,nfor,ndefor,rate
1,384852,25900,0.006942803599737424
2,7889,3043,0.047563247891542426
3,424,309,0.12232607020168507
4,81,56,0.11091046386780001
5,62,51,0.1587983815894355
6,61,53,0.18383866757023382
7,74,71,0.2742468098690217
8,17,16,0.24672230507496096
9,27,27,1.0
10,6,6,1.0
11,6,6,1.0
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,76,76,1.0
