cat,nfor,ndefor,rate
1,376913,21269,0.005791579870973118
2,12566,5301,0.053318573928421764
3,2509,1640,0.10060201237338562
4,563,444,0.14394068627215184
5,321,284,0.19430685393956382
6,162,145,0.20183369350598768
7,63,59,0.24094727418867912
8,88,82,0.23551871542813385
9,42,42,1.0
10,12,12,1.0
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,336,336,1.0
