cat,nfor,ndefor,rate
1,381371,23917,0.006455669258388919
2,10469,4429,0.053516224202000195
3,1017,639,0.09423176782616016
4,216,177,0.15732310647644154
5,118,85,0.11963413858256577
6,91,78,0.17682874600695575
7,40,38,0.2588655508930522
8,61,59,0.2894902923127517
9,28,28,1.0
10,6,6,1.0
11,5,5,1.0
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,153,153,1.0
