cat,nfor,ndefor,rate
1,140821,0,0.0
2,4123,18,0.0004374353792714336
3,20389,122,0.0005999791602447901
4,8868,89,0.0010081700357600365
5,17177,189,0.0011057948781404425
6,12874,188,0.0014699935413702292
7,15564,310,0.0020098566657436034
8,13028,296,0.0022955988729367327
9,13493,372,0.0027917988935302063
10,12881,471,0.003718146331771699
11,13980,647,0.004727347917433566
12,14110,874,0.006373937309222644
13,13114,942,0.007426499239221118
14,13267,1164,0.00914060763771829
15,13452,1519,0.01191051379032737
16,13403,1909,0.015247895695283953
17,13451,2545,0.02075561028937911
18,13274,3467,0.029817500950408804
19,13134,5108,0.0480586008426791
20,13172,9384,0.11717255713469277
