cat,nfor,ndefor,rate
1,17273,5,2.8950682712580722e-05
2,12093,51,0.0004225340834087543
3,12598,103,0.0008206138034591026
4,13887,84,0.0006065350707720185
5,13617,146,0.0010773977324506356
6,13085,130,0.0009979738893022283
7,12412,169,0.0013700008402834918
8,12186,215,0.0017784859719017776
9,17523,389,0.002242433000533506
10,10288,215,0.002109730437141688
11,18392,614,0.0033896470953134195
12,11179,441,0.00401672790984231
13,13919,512,0.0037407712799337745
14,12873,592,0.004696809535660651
15,14593,691,0.0048391779673542246
16,13247,609,0.004695239075536928
17,13720,640,0.004765635777340238
18,12538,650,0.005309310014080637
19,15460,1021,0.006809029208582729
20,13060,998,0.007917897873834678
21,12676,1199,0.00988733659877683
22,13860,1371,0.010361816323427253
23,12442,1327,0.011214869056162091
24,13603,1707,0.013319317058752778
25,13908,2134,0.01651908876386643
26,13372,2145,0.017332177094724788
27,13195,2732,0.02293224037149011
28,13298,3536,0.030438755479796353
29,13278,5188,0.048340503507987354
