cat,nfor,ndefor,rate
1,369869,15987,0.00440878909537934
2,14381,6333,0.0563957503048369
3,4253,2766,0.09975325748228892
4,1588,1209,0.13347944104365816
5,841,742,0.19260897050371018
6,508,469,0.2263935367784975
7,316,300,0.257932707432184
8,178,170,0.26672479757129275
9,67,64,0.26699886823012065
10,46,46,1.0
11,2,2,1.0
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,1526,1526,1.0
